scheme_id,min_age,max_age,gender,occupation,annual_income_limit,caste_eligible,caste_categories,scheme_name,category,description,eligibility_summary
1,18,25,All,Student,600000,No,NULL,PM Scholarship Scheme,Education,Scholarship for wards of ex-servicemen and ex-coast guard for higher education,Students aged 18-25 who are wards of ex-servicemen with income below 6L
2,13,18,All,Student,150000,No,NULL,National Means-cum-Merit Scholarship,Education,Scholarship to prevent dropout at Class 8 and support meritorious students,Students in Class 9-12 with family income below 1.5L
3,15,30,All,Student,250000,Yes,SC,Post Matric Scholarship for SC Students,Education,Financial assistance to SC students pursuing post-matriculation education,SC students pursuing post-matric education with family income below 2.5L
4,18,25,All,Student,800000,No,NULL,Central Sector Scholarship for College Students,Education,Scholarship for top academic performers in higher education,Students in top 20 percentile in Class 12 with income below 8L
5,18,NULL,All,Student,NULL,No,NULL,Pradhan Mantri Vidya Lakshmi Karyakram,Education,Unified portal for education loan and scholarship applications,Any student seeking education loan or scholarship for higher studies
6,18,30,All,Student,600000,No,NULL,Ishan Uday Scholarship for North East,Education,Special scholarship for students from North Eastern states,Students from NE states pursuing higher education with income below 6L
7,18,30,Female,Student,800000,No,NULL,Pragati Scholarship for Girl Students,Education,Scholarship for girl students pursuing technical education,Girl students in AICTE-approved institutions with family income below 8L
8,18,30,All,Student,800000,No,NULL,Saksham Scholarship for Disabled Students,Education,Scholarship for differently-abled students in technical institutions,Students with 40% or more disability in AICTE-approved courses
9,6,14,All,Student,NULL,No,NULL,Mid-Day Meal Scheme,Food,"Free cooked meals provided to children in government and aided schools","All children enrolled in Classes 1-8 in government schools"
10,3,6,All,All,NULL,No,NULL,PM POSHAN Scheme,Food,"Nutritional support to children in Anganwadis and pre-primary schools","Children aged 3-6 attending Anganwadi centres across India"
11,NULL,NULL,All,All,NULL,No,NULL,Antyodaya Anna Yojana,Food,"Subsidised foodgrains at lowest prices for poorest of poor families","Families identified as poorest of poor under BPL category"
12,NULL,NULL,All,All,NULL,No,NULL,Pradhan Mantri Garib Kalyan Anna Yojana,Food,"Free foodgrains to poor households under National Food Security Act","NFSA beneficiaries entitled to 5 kg free grain per person per month"
13,NULL,NULL,All,All,NULL,No,NULL,National Food Security Act,Food,"Subsidised food grains to priority households and Antyodaya families","BPL and priority household members receiving 5 kg grain at subsidized rates"
14,0,6,All,All,NULL,No,NULL,Integrated Child Development Services,Food,"Nutrition and health services to children under 6 and pregnant women","Children under 6 and pregnant/lactating mothers in targeted areas"
15,11,18,Female,All,NULL,No,NULL,Rajiv Gandhi Scheme for Empowerment of Adolescent Girls,Food,"Nutrition supplementation and life skills for adolescent girls","Girls aged 11-18 in selected districts especially out-of-school girls"
16,18,60,All,Farmer,600000,No,NULL,PM Kisan Samman Nidhi,Agriculture,"Direct income support of 6000 per year to small and marginal farmers","Farmers with cultivable land registered in PM-KISAN portal; Farmers with income <= 6L"
17,18,NULL,All,Farmer,NULL,No,NULL,PM Fasal Bima Yojana,Agriculture,"Crop insurance to protect farmers against natural calamities","All farmers growing notified crops in notified areas eligible"
18,18,75,All,Farmer,NULL,No,NULL,Kisan Credit Card Scheme,Agriculture,"Short-term credit facility for farmers to meet agricultural needs","Farmers with land records and valid cultivation history"
19,18,NULL,All,Farmer,NULL,No,NULL,Soil Health Card Scheme,Agriculture,"Provides soil health reports and fertilizer recommendations to farmers","All farmers who own or cultivate land are eligible to apply"
20,18,65,All,Farmer,NULL,No,NULL,PM Krishi Sinchayee Yojana,Agriculture,"Promotes water use efficiency and assured irrigation to farmers","Farmers with agricultural land who need irrigation infrastructure"
21,18,65,All,Farmer,NULL,No,NULL,National Agriculture Market e-NAM,Agriculture,"Online trading platform for agricultural commodities across India","Farmers registered with their local Agricultural Produce Market Committee"
22,18,65,All,Farmer,NULL,No,NULL,Paramparagat Krishi Vikas Yojana,Agriculture,"Promotes organic farming through cluster approach and certification","Farmers willing to adopt organic farming in groups of 50+"
23,18,40,All,Farmer,NULL,No,NULL,PM Kisan Maandhan Yojana,Agriculture,"Pension scheme providing 3000 per month to small and marginal farmers","Small/marginal farmers aged 18-40 with land up to 2 hectares"
24,18,NULL,All,Farmer,NULL,No,NULL,Agriculture Infrastructure Fund,Agriculture,"Financing facility for post-harvest management and agri infrastructure","Farmers FPOs cooperatives and agri-entrepreneurs eligible"
25,18,65,All,Farmer,NULL,No,NULL,Rashtriya Krishi Vikas Yojana,Agriculture,"Additional central assistance to incentivize agricultural development","Farmers and state government bodies in agriculture and allied sectors"
26,NULL,NULL,All,All,500000,No,NULL,Ayushman Bharat PM-JAY,Health,"Health insurance cover of 5 lakh per family per year for poor households","Bottom 40% economically vulnerable families identified through SECC database; Income <= 5L"
27,NULL,NULL,Female,All,NULL,No,NULL,Janani Suraksha Yojana,Health,"Cash assistance to poor pregnant women for institutional delivery","Pregnant women from BPL families delivering in government health facilities"
28,NULL,NULL,Female,All,NULL,No,NULL,Pradhan Mantri Surakshit Matritva Abhiyan,Health,"Free antenatal checkups to pregnant women on fixed day every month","All pregnant women in their 2nd or 3rd trimester eligible"
29,NULL,5,All,All,NULL,No,NULL,National Immunisation Programme,Health,"Free vaccines to protect children from life-threatening diseases","All children from birth to 5 years and pregnant women eligible"
30,NULL,NULL,All,All,300000,No,NULL,Rashtriya Swasthya Bima Yojana,Health,"Health insurance of 30000 for BPL families including unorganised workers","BPL families and unorganised sector workers and their families; Income <= 3L"
31,NULL,NULL,All,All,NULL,No,NULL,National Mental Health Programme,Health,"Community-based mental health services through district mental health program","All citizens needing mental health care through public health facilities"
32,NULL,NULL,All,All,NULL,No,NULL,PM TB Mukt Bharat Abhiyan,Health,"Nutritional support and treatment linkage for TB patients in India","All TB patients notified and registered in Ni-kshay system"
33,NULL,NULL,All,All,NULL,No,NULL,Pradhan Mantri Bhartiya Jan Aushadhi Pariyojana,Health,"Affordable generic medicines available at Jan Aushadhi Kendras","All citizens can purchase medicines at 50-90% lower cost at PMBJP stores"
34,30,NULL,All,All,NULL,No,NULL,National Programme for Non-Communicable Diseases,Health,"Prevention and control of diabetes cancer and cardiovascular diseases","Adults 30 and above eligible for free screening at health and wellness centres"
35,NULL,NULL,All,All,NULL,No,NULL,Ayushman Bharat Health and Wellness Centres,Health,"Comprehensive primary health care at upgraded sub-centres and PHCs","All citizens in rural and urban areas near Health and Wellness Centres"
36,18,60,All,All,NULL,No,NULL,Mahatma Gandhi NREGA,Employment,"Guarantees 100 days of unskilled wage employment per year to rural households","Rural households willing to do unskilled manual work eligible"
37,18,NULL,All,All,NULL,No,NULL,Pradhan Mantri Rojgar Protsahan Yojana,Employment,"Government pays EPF contribution for new employees to boost formal employment","New employees earning up to 15000 per month in EPFO-registered establishments"
38,15,35,All,All,NULL,Yes,"SC, ST, OBC",Deen Dayal Upadhyaya Grameen Kaushalya Yojana,Employment,"Skill training and placement for rural youth below poverty line","Rural youth aged 15-35 from poor families in selected districts"
39,15,45,All,All,NULL,No,NULL,Pradhan Mantri Kaushal Vikas Yojana,Employment,"Free short-term skill training and certification to youth of India","Indian nationals aged 15-45 seeking skill training and certification"
40,18,NULL,All,All,NULL,No,NULL,National Career Service Portal,Employment,"Job matching platform connecting job seekers with employers nationwide","All job seekers who register on the NCS portal are eligible"
41,18,60,All,All,NULL,No,NULL,PM SVANidhi Scheme,Employment,"Collateral-free working capital loans to street vendors affected by COVID","Street vendors with vending certificate or letter of recommendation eligible"
42,21,50,All,Entrepreneur,NULL,No,NULL,Startup India Scheme,Employment,"Funding support tax benefits and simplification for eligible startups","DPIIT-recognized startups less than 10 years old with turnover under 100 crore"
43,18,55,All,Entrepreneur,NULL,Yes,"SC, ST",Stand Up India,Employment,"Loans between 10 lakh and 1 crore to SC/ST and women entrepreneurs","SC/ST and women entrepreneurs setting up greenfield enterprises"
44,18,NULL,All,Entrepreneur,1000000,No,NULL,Pradhan Mantri MUDRA Yojana,Employment,"Loans up to 10 lakh for non-farm micro and small enterprises","Non-farm income-generating businesses needing credit up to 10 lakh"
45,14,30,All,All,NULL,No,NULL,National Apprenticeship Promotion Scheme,Employment,"Stipend support to apprentices and employers to boost apprenticeships","Employers engaging apprentices and candidates wanting to undergo apprenticeship"
46,18,70,All,All,300000,Yes,EWS,Pradhan Mantri Awas Yojana Urban,Housing,"Affordable housing assistance for EWS LIG and MIG in urban areas","Urban residents belonging to EWS/LIG/MIG without pucca house; Income <= 6L"
47,18,70,All,All,600000,Yes,"SC, ST",Pradhan Mantri Awas Yojana Gramin,Housing,"Financial assistance to BPL rural households for constructing pucca house","Rural BPL households without pucca house listed in SECC data; Income <= 6L"
48,18,NULL,All,All,NULL,Yes,"SC, ST",Indira Awas Yojana,Housing,"Rural housing scheme merged into PMAY-G providing financial aid for houses","BPL rural families including SC/ST needing housing assistance"
49,18,NULL,All,All,NULL,No,NULL,Rajiv Awas Yojana,Housing,"Slum-free India mission providing housing to slum dwellers in cities","Slum dwellers and urban poor in cities identified under RAY"
50,18,NULL,All,All,NULL,No,NULL,Basic Services for Urban Poor,Housing,"Provides tenure security and basic amenities to urban slum dwellers","Urban poor living in slums without ownership rights"
51,18,70,All,All,1800000,Yes,EWS,Credit Linked Subsidy Scheme,Housing,"Interest subsidy on home loans for EWS/LIG/MIG under PMAY","First-time homebuyers in EWS/LIG/MIG income categories eligible"
52,18,60,All,All,NULL,No,NULL,Deen Dayal Antyodaya Yojana Urban,Housing,"Affordable housing and livelihood support for urban poor communities","Urban poor including street vendors and slum dwellers eligible"
53,18,NULL,All,All,NULL,No,NULL,Pradhan Mantri Jan Dhan Yojana,Finance,"Zero-balance bank account with RuPay debit card and overdraft facility","Any Indian citizen above 18 without a bank account eligible"
54,18,40,All,All,NULL,No,NULL,Atal Pension Yojana,Finance,"Government-backed pension scheme for unorganised sector workers","Indian citizens aged 18-40 with a savings bank account"
55,18,50,All,All,NULL,No,NULL,PM Jeevan Jyoti Bima Yojana,Finance,"Life insurance of 2 lakh at annual premium of 436 rupees","Bank account holders aged 18-50 eligible for this life insurance"
56,18,70,All,All,NULL,No,NULL,PM Suraksha Bima Yojana,Finance,"Accidental insurance of 2 lakh at premium of only 20 rupees per year","Bank account holders aged 18-70 eligible for accident insurance"
57,NULL,10,Female,All,NULL,No,NULL,Sukanya Samriddhi Yojana,Finance,"High-interest savings scheme for girl children to fund education and marriage","Girl children below 10 years of age for whom account is opened by parents"
58,18,NULL,All,All,NULL,No,NULL,Public Provident Fund,Finance,"Long-term savings scheme with tax benefits and government-backed returns","Any Indian resident above 18 can open a PPF account"
59,18,NULL,All,All,NULL,No,NULL,Kisan Vikas Patra,Finance,"Savings certificate scheme doubling investment in fixed years","Any Indian citizen above 18 with valid KYC can invest"
60,18,70,All,All,NULL,No,NULL,National Pension System,Finance,"Voluntary long-term pension scheme for citizens in organised and unorganised sector","Indian citizens aged 18-70 including NRIs can subscribe to NPS"
61,60,NULL,All,All,NULL,No,NULL,Senior Citizen Savings Scheme,Finance,"High-interest savings scheme with tax benefits exclusively for senior citizens","Indian residents aged 60 and above or 55 if retired under VRS"
62,18,45,Female,All,200000,No,NULL,Pradhan Mantri Matru Vandana Yojana,Women & Child,"Maternity benefit of 5000 to pregnant and lactating mothers for first child","Pregnant women above 18 for first live birth eligible for cash transfer"
63,NULL,NULL,Female,All,NULL,No,NULL,Beti Bachao Beti Padhao,Women & Child,"Campaign to address decline in child sex ratio and promote girl education","Girl children in selected 100 districts and their families"
64,NULL,NULL,Female,All,NULL,No,NULL,One Stop Centre Scheme,Women & Child,"Integrated support services to women affected by violence at one location","Women above 18 who are victims of violence in any form"
65,NULL,NULL,Female,All,NULL,No,NULL,Mahila Shakti Kendra,Women & Child,"Empowers rural women through community participation and awareness","Rural women in selected districts eligible for skill and capacity building"
66,18,60,Female,All,200000,No,NULL,Ujjwala Yojana,Women & Child,"Free LPG connection to women from BPL households for clean cooking","Women above 18 from BPL households without LPG connection eligible"
67,18,NULL,Female,All,NULL,No,NULL,Working Women Hostel,Women & Child,"Safe and affordable hostel accommodation for working women in cities","Working women with income up to 50000 per month in urban areas"
68,NULL,18,All,All,NULL,No,NULL,Integrated Child Protection Scheme,Women & Child,"Protection services and rehabilitation for children in need of care","Children below 18 in difficult circumstances or in conflict with law"
69,11,18,Female,All,NULL,No,NULL,SABLA Scheme,Women & Child,"Holistic development of adolescent girls through nutrition and life skills","Girls aged 11-18 in selected blocks especially out-of-school girls"
70,6,NULL,Female,All,NULL,No,NULL,National Creche Scheme,Women & Child,"Day care facilities for children of working women at subsidized cost","Working women with children aged 6 months to 6 years eligible"
71,60,100,All,All,200000,No,NULL,Indira Gandhi National Old Age Pension,Senior Citizen,"Monthly pension to BPL senior citizens who are above 60 years of age","Destitute persons aged 60 and above from BPL households; Income <= 2L"
72,60,NULL,All,All,NULL,No,NULL,National Programme for Health Care of Elderly,Senior Citizen,"Dedicated healthcare services to elderly through sub-centres and hospitals","All citizens aged 60 and above through public health infrastructure"
73,60,NULL,All,All,NULL,No,NULL,Rashtriya Vayoshri Yojana,Senior Citizen,"Free assistive living devices to BPL senior citizens with age-related disabilities","BPL senior citizens with low vision hearing loss or mobility impairment"
74,60,NULL,All,All,NULL,No,NULL,Senior Citizen Welfare Fund,Senior Citizen,"Utilises unclaimed deposits for welfare activities for senior citizens","Senior citizens in need of rehabilitation and welfare support"
75,60,NULL,All,All,NULL,No,NULL,Vayo Mitra Scheme,Senior Citizen,"Integrated helpline and outreach services for elderly citizens in distress","All senior citizens aged 60 and above in need of emergency support"
76,65,NULL,All,All,NULL,No,NULL,Annapurna Scheme,Senior Citizen,"Free food grains to destitute senior citizens not covered under NOAPS","Destitute persons aged 65 and above not covered under old age pension"
77,18,79,All,All,NULL,No,NULL,Indira Gandhi National Disability Pension,Senior Citizen,"Monthly pension to severely disabled BPL persons","Persons aged 18-79 with 80% or more disability from BPL families"
78,60,NULL,All,All,NULL,No,NULL,National Action Plan for Senior Citizens,Senior Citizen,"Policy framework for welfare housing health care and social support for elderly","All senior citizens aged 60 and above as beneficiaries of policy measures"
79,60,NULL,All,All,NULL,No,NULL,Elder Line National Helpline,Senior Citizen,"Toll-free helpline providing information emotional support to senior citizens","Any senior citizen aged 60 and above can access the 14567 helpline"
80,60,80,All,All,NULL,No,NULL,Varishtha Pension Bima Yojana,Senior Citizen,"LIC-backed guaranteed pension plan offering 9.3% return to senior citizens","Senior citizens aged 60 and above investing lump sum through LIC"
81,18,NULL,Female,All,NULL,No,NULL,Pradhan Mantri Ujjwala Yojana 2.0,Women & Child,"Extended LPG connections with first refill free to poor migrant households","Women from poor migrant households and BPL families without LPG eligible"
82,NULL,NULL,Female,All,NULL,No,NULL,Janani Shishu Suraksha Karyakram,Health,"Free delivery and newborn care entitlements at public health facilities","All pregnant women delivering in government hospitals and sick newborns"
83,10,19,All,All,NULL,No,NULL,Rashtriya Kishor Swasthya Karyakram,Health,"Adolescent health and wellness programme through peer education and clinics","Adolescents aged 10-19 accessing health services through public facilities"
84,NULL,NULL,All,All,NULL,No,NULL,National Tobacco Control Programme,Health,"Awareness and cessation services to reduce tobacco use in India","All citizens particularly tobacco users accessing NTCP centres"
85,NULL,NULL,All,All,NULL,No,NULL,Accessible India Campaign,Employment,"Making built environment transport and ICT accessible for persons with disability","Persons with disabilities and organisations working for their welfare"
86,NULL,NULL,All,All,NULL,No,NULL,Deendayal Disabled Rehabilitation Scheme,Employment,"Financial assistance to NGOs for rehabilitation services for persons with disability","Persons with disability needing rehabilitation through NGO-run centres"
87,18,NULL,All,All,NULL,Yes,"SC, ST",PM Awas Yojana SC ST Component,Housing,"Priority housing for SC and ST communities under PMAY rural component","SC/ST households without pucca house in rural areas under SECC database"
88,18,60,Female,All,NULL,Yes,"SC, ST",National Rural Livelihood Mission,Employment,"Mobilises rural poor women into SHGs and provides livelihood opportunities","Rural poor women mobilised into Self Help Groups under DAY-NRLM"
89,18,35,All,Entrepreneur,NULL,Yes,"SC, ST, OBC",PM Employment Generation Programme,Employment,"Credit-linked subsidy for setting up micro enterprises in rural and urban areas","Artisans entrepreneurs aged 18-35 for new micro enterprise setup"
90,60,NULL,All,All,NULL,No,NULL,Pradhan Mantri Vaya Vandana Yojana,Senior Citizen,"LIC pension scheme offering assured returns of 7.4% for 10 years","Senior citizens aged 60 and above investing in LIC PMVVY plan"
91,NULL,NULL,All,Student,250000,Yes,"SC, ST, OBC, EWS",National Scholarship Portal,Education,"Central platform for multiple government scholarships for pre and post matric","Students at any level with family income below 2.5L registered on NSP"
92,6,18,All,Student,NULL,Yes,ST,Eklavya Model Residential Schools,Education,"Residential schooling for ST children with focus on tribal culture","Scheduled Tribe children in blocks with over 50% ST population"
93,NULL,NULL,All,Student,100000,No,NULL,Pre-Matric Scholarship for Minorities,Education,"Scholarship for minority community students in Classes 1 to 10","Minority students with family income below 1L per annum"
94,9,13,All,Student,NULL,No,NULL,Navodaya Vidyalaya Scheme,Education,"Quality residential education to talented rural children in JNVs","Rural students aged 9-13 selected through JNVST examination"
95,6,18,All,Student,NULL,No,NULL,Samagra Shiksha Abhiyan,Education,"Integrated school education scheme covering preschool to senior secondary","All children aged 6-18 in government and aided schools"
96,14,18,Female,Student,NULL,Yes,"SC, ST",National Scheme for Incentive to Girls for Secondary Education,Education,"Fixed deposit of 3000 for SC/ST girls to continue education after Class 8","SC/ST girls and girls from low-income families passing Class 8 exam"
97,18,NULL,All,Farmer,NULL,No,NULL,Pradhan Mantri Kisan Urja Suraksha,Agriculture,"Solar pump sets and grid-connected solar power plants for farmers","Farmers with agricultural land eligible for solar pump and power subsidy"
98,18,NULL,All,Farmer,NULL,No,NULL,National Mission for Sustainable Agriculture,Agriculture,"Climate-resilient agriculture practices and integrated farming systems","Farmers in rainfed and drought-prone areas adopting sustainable practices"
99,18,NULL,All,Farmer,NULL,No,NULL,PM Kisan Beneficiary Status Fund,Agriculture,"Direct benefit transfer of 2000 each in three installments to farmers","Small and marginal farmers with cultivable landholding across India"
100,18,NULL,All,Farmer,NULL,No,NULL,Animal Husbandry Infrastructure Development Fund,Agriculture,"Incentivizes private investment in dairy and meat processing infrastructure","Farmers farmer producers organisations and private entrepreneurs in animal husbandry"
101,17,25,All,Student,NULL,No,NULL,INSPIRE Scholarship,Education,"Science talent scholarship","Science students eligible"
102,10,18,All,Student,250000,Yes,"SC, ST, OBC",Pre Matric Scholarship,Education,"School-level scholarship","Income <= 2.5L"
103,21,35,All,Student,NULL,Yes,"SC, ST, OBC",National Fellowship,Education,"Research fellowship","Postgraduate students eligible"
104,18,30,All,Student,800000,Yes,SC,Top Class Education Scheme,Education,"Top institute support","Income <= 8L"
105,18,65,All,Farmer,NULL,No,NULL,National Horticulture Mission,Agriculture,"Horticulture promotion","All farmers"
106,18,60,All,Farmer,NULL,No,NULL,Dairy Entrepreneurship,Agriculture,"Dairy business support","Farmers eligible"
107,NULL,NULL,All,All,NULL,No,NULL,PM National Dialysis,Health,"Free dialysis services","All eligible"
108,0,5,All,Child,NULL,No,NULL,Mission Indradhanush,Health,"Immunization program","Children eligible"
109,NULL,NULL,All,All,NULL,No,NULL,Ayush Mission,Health,"Traditional medicine promotion","All citizens"
110,18,40,All,Unemployed,NULL,No,NULL,Skill India,Employment,"Skill training","Youth eligible"
111,18,50,All,All,NULL,No,NULL,Digital India,Employment,"Digital empowerment","All citizens"
112,NULL,NULL,All,All,200000,No,NULL,Public Distribution System,Food,"Subsidized food grains","Income <= 2L"
113,NULL,NULL,All,All,NULL,No,NULL,Gold Monetization Scheme,Finance,"Gold savings scheme","All citizens"
114,60,100,All,Retired,200000,No,NULL,National Social Assistance,Senior Citizen,"Social pension","Income <= 2L"
115,NULL,NULL,All,All,NULL,No,NULL,Swachh Bharat Mission,Health,"Sanitation program","All citizens"
116,NULL,NULL,All,All,NULL,No,NULL,Jal Jeevan Mission,Health,"Water supply scheme","All citizens"
117,NULL,NULL,All,All,NULL,No,NULL,Smart Cities Mission,Housing,"Urban development","All citizens"
118,NULL,NULL,All,All,NULL,No,NULL,AMRUT Scheme,Housing,"Urban infrastructure","All citizens"
119,14,60,All,All,NULL,No,NULL,Digital Saksharta Abhiyan,Education,"Digital literacy","All citizens"
120,6,18,All,Student,NULL,No,NULL,PM eVIDYA,Education,"Online education","Students eligible"
121,18,45,All,Unemployed,NULL,No,NULL,National Skill Development Mission,Employment,"Skill development","Youth eligible"
122,18,60,All,Entrepreneur,NULL,No,NULL,Make in India,Employment,"Manufacturing promotion","Entrepreneurs"
